date,invoice_type,invoice_no,sku_code,product_category,brand_name,retailer_code,retailer_name,retailer_type,distributor_code,distributor_name,distributor_type,list_price,price_sold,quantity_sold,invoice_value,discount_amount,discount_percentage,unit_profit
2022-03-14,Normal,QRA-007-22RT06003710-01,45c68e33aa34208611d64658686a0018bfd56872,HAIR CARE,Brand 25,60339d8529e56efcb33de23ca326ee0ce4635846,Retailer 484,MINIMART,Q007,Distributor C,Exclusive,6.2,3.9,3,11.7,2.3,37.096775,-0.44
2024-02-19,Normal,QRA-006-24RT05002420-01,a6c4a7dc6136e689bd840302b0071073b06538d6,FABRIC CARE,Brand 2,8c9cf78462fe727421cee082ccbf531cd8318c79,Retailer 704,INDEPENDENT,Q006,Distributor B,Direct,12.6,8.35,6,50.1,4.25,33.73016,-0.47
2022-09-26,Normal,QRA-007-22RT04013670-01,ab7ace74d5c107748349ce04e823db7f72dbd772,HAIR CARE,Brand 25,120d36887dcfee753f97efd2f2552cb6a71bbbf9,Retailer 96,INDEPENDENT,Q007,Distributor C,Exclusive,6.2,3.65,3,10.95,2.55,41.129032,-0.69
2024-12-04,Normal,QRA-006-24RT25009700-01,10c3fcc862e3bc251c907873a1f1fdcf7ef7206b,FABRIC CARE,Brand 2,cb4c4984bc8670ee34252c58c0b6d0fe571d46ee,Retailer 1010,INDEPENDENT,Q006,Distributor B,Direct,12.6,8.95,6,53.7,3.65,28.968254,0.13
2024-03-05,Normal,QRA-006-24RT04002930-01,249f39537eca1dcd71ef08aa9f2cb4198cd69089,FABRIC CARE,Brand 2,b1d9a1d1e2ab495dafc40ba78dcdfa07b9d26c65,Retailer 891,INDEPENDENT,Q006,Distributor B,Direct,7.3,7.1,8,56.8,0.2,2.739726,1.99
2022-02-08,Normal,QRA-004-22RT01001380-01,faabeae355ea375d8d0036942b56d235f26e17aa,SKIN CLEANSING,Brand 7,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q004,Distributor A,Exclusive,10.0,5.3,6,31.8,4.7,47.0,-1.7
2022-01-03,Normal,QRA-004-22RT05000160-01,c01606e7bef098f92f6e17ba777e3456aa628b99,SKIN CLEANSING,Brand 7,8313833d71be81bd3d28c1f636ed1a3bd35d40aa,Retailer 666,INDEPENDENT,Q004,Distributor A,Exclusive,10.0,5.6,6,33.6,4.4,44.0,-1.4
2024-10-04,Normal,QRA-006-24RT25006260-01,351ff7ddd8c542d7b36a301a079e3b43d6f89d20,FABRIC CARE,Brand 2,26fc93027eb1b3163839c06908b9aa0aaba9aa28,Retailer 204,INDEPENDENT,Q006,Distributor B,Direct,5.4,4.85,8,38.8,0.55,10.185185,1.07
2022-06-06,Normal,QRA-003-22RT10008070-01,1fbd4e4f6a754d1b6a96e701be2a52fbdddeeb45,SCRATCH COOKING AIDS,Brand 12,8cd7595bf37edbf6d6df8829f0c3fa988c08a201,Retailer 705,INDEPENDENT,Q003,Distributor D,Selective,1.5,1.45,60,87.0,0.05,3.3333333,0.4
2024-05-13,Normal,QRA-007-24RT02004700-01,9e4b079130e52996b53e1d65b951d2893bb19b10,HAIR CARE,Brand 4,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q007,Distributor C,Exclusive,2.0,1.6,12,19.2,0.4,20.0,0.2
2024-09-26,Normal,QRA-004-24RT21004530-01,c3a7bdd2cfd24fc15df6ca9c5436d659bdac4ecd,SKIN CLEANSING,Brand 17,b94d5659b049cef9fa0fb8bc3d0d6315f35fdadd,Retailer 922,INDEPENDENT,Q004,Distributor A,Exclusive,5.9,3.95,3,11.85,1.95,33.050846,-0.18
2022-08-11,Normal,QRA-004-22RT03012500-01,9ab956dd656b36c069f12836cd4520925c19864f,DEODORANTS & FRAGRANCES,Brand 21,4510fc5bb2e9d18a2212d44f110eef62e96ce9ca,Retailer 351,INDEPENDENT,Q004,Distributor A,Exclusive,3.5,1.7,6,10.2,1.8,51.42857,-0.75
2021-08-06,Normal,QRA-003-21RT05009900-01,80555d33d38e747dd2cda71e7990b97d88e898a7,SCRATCH COOKING AIDS,Brand 12,ad9a0720ca9b6b882eb85c938fa005617781d5db,Retailer 872,MINIMART,Q003,Distributor D,Selective,1.6,1.5,8,12.0,0.1,6.25,0.38
2022-09-26,Normal,QRA-006-22RT06013180-01,187f87c58e5850244e6c88014e0ee366612ae99b,FABRIC CARE,Brand 2,672710c8858e534d46992145e89fa16c52cf57fd,Retailer 509,INDEPENDENT,Q006,Distributor B,Direct,7.1,5.6,6,33.6,1.5,21.12676,0.63
2024-03-14,Normal,QRA-006-24RT05003650-01,47df060c65cafc5928d959da00a46a60c957347d,FABRIC CARE,Brand 2,8313833d71be81bd3d28c1f636ed1a3bd35d40aa,Retailer 666,INDEPENDENT,Q006,Distributor B,Direct,12.6,8.35,6,50.1,4.25,33.73016,-0.47
2023-07-26,Normal,QRA-007-23RT05009920-01,6922c31fa8521d4882ad83154759e2bbbfb42ae3,HAIR CARE,Brand 25,c097b882f02103ba053fcc1f1cabf88d083617f4,Retailer 954,INDEPENDENT,Q007,Distributor C,Exclusive,9.7,5.95,3,17.85,3.75,38.659794,-0.84
2023-02-07,Normal,QRA-004-23RT04001690-01,49eaebaa6005c3d47541299bd9ce5d4e075c5494,SKIN CLEANSING,Brand 17,3e05ca2f41350b3e29a7a61ea4577f2f3a42cdfe,Retailer 318,INDEPENDENT,Q004,Distributor A,Exclusive,2.6,2.5,24,60.0,0.1,3.8461537,0.68
2022-08-26,Normal,QRA-007-22RT03013200-01,8750ac4e4ad37f349b4903799ade94716d608623,HAIR CARE,Brand 7,ec1af7aec4e62e1a32ba1d3e3d89a466b5769177,Retailer 1171,CHAIN,Q007,Distributor C,Exclusive,11.1,8.25,3,24.75,2.85,25.675676,0.48
2022-03-07,Normal,QRA-007-22RT03004090-01,5a3c4cd9e308354ac39509f69002d26b8eb846b2,HAIR CARE,Brand 25,2f5a09581f71d9cdda0eb05797694936a0adeee3,Retailer 243,INDEPENDENT,Q007,Distributor C,Exclusive,6.2,3.65,6,21.9,2.55,41.129032,-0.69
2022-01-04,Normal,QRA-004-22RT01000170-01,388fbe9ad707f8818f9e73c2ba03a99d92dbb8a9,SKIN CLEANSING,Brand 7,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q004,Distributor A,Exclusive,10.0,5.3,6,31.8,4.7,47.0,-1.7
2024-06-10,Normal,QRA-004-24RT02005700-01,dc8d1e49be474d0753c76289130ddf5839d10806,SKIN CLEANSING,Brand 7,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q004,Distributor A,Exclusive,10.0,5.65,12,67.8,4.35,43.5,-1.35
2023-02-08,Normal,QRA-003-23RT05001670-01,96741182d78db1a97d4baa998fef38b6fb90d26c,COOKING AIDS,Brand 12,47007f559dfa65b7d3930ab1e68325bdffd4ace6,Retailer 360,INDEPENDENT,Q003,Distributor D,Selective,2.1,1.65,12,19.8,0.45,21.428572,0.18
2022-04-12,Normal,QRA-006-22RT04005400-01,29e4e90c2d30cc5a9efec839178002f504142e29,FABRIC CARE,Brand 2,b1d9a1d1e2ab495dafc40ba78dcdfa07b9d26c65,Retailer 891,INDEPENDENT,Q006,Distributor B,Direct,12.6,8.25,4,33.0,4.35,34.52381,-0.57
2024-07-05,Normal,QRA-004-24RT22000270-01,d7b2add57d0e28efddbcab9f2ac3364847f5af7c,SKIN CLEANSING,Brand 13,a6ec79a3ca7335835643015f94cf07516babe5a3,Retailer 832,CHAIN,Q004,Distributor A,Exclusive,10.1,6.2,3,18.6,3.9,38.61386,-0.87
2021-09-24,Normal,QRA-004-21RT05012490-01,69a9ec96757ec490f0c936f43609ec90edbe82b2,SKIN CLEANSING,Brand 13,8c9cf78462fe727421cee082ccbf531cd8318c79,Retailer 704,INDEPENDENT,Q004,Distributor A,Exclusive,9.6,5.7,3,17.1,3.9,40.625,-1.02
2024-09-10,Normal,QRA-004-24RT23004490-01,d7b2add57d0e28efddbcab9f2ac3364847f5af7c,SKIN CLEANSING,Brand 13,4a679e877fbe6fa4020a71ff3ee7d78c326e579f,Retailer 384,INDEPENDENT,Q004,Distributor A,Exclusive,10.1,6.2,3,18.6,3.9,38.61386,-0.87
2023-08-25,Normal,QRA-006-23RT03013550-01,893109e3883e63f03b47ec72228184895a5ef21b,FABRIC CARE,Brand 2,bba002410b59e1772331b7cc2c9a7e3d9e120c1c,Retailer 935,CHAIN,Q006,Distributor B,Direct,12.6,8.95,2,17.9,3.65,28.968254,0.13
2024-03-21,Normal,QRA-007-24RT05004070-01,e8d7d9bfc63a0b855ff2693fbdf37a71dad82fbf,HAIR CARE,Brand 7,47007f559dfa65b7d3930ab1e68325bdffd4ace6,Retailer 360,INDEPENDENT,Q007,Distributor C,Exclusive,11.4,8.1,3,24.3,3.3,28.947369,0.12
2023-03-17,Normal,QRA-003-23RT05003540-01,96741182d78db1a97d4baa998fef38b6fb90d26c,COOKING AIDS,Brand 12,8c9cf78462fe727421cee082ccbf531cd8318c79,Retailer 704,INDEPENDENT,Q003,Distributor D,Selective,2.2,1.7,12,20.4,0.5,22.727272,0.16
2022-11-01,Normal,QRA-006-22RT06015100-01,51e2aa704e31a078e357c9acbacc98f8556bdd20,FABRIC CARE,Brand 2,1a090d780a94bad71111c32de3d620372b00ebff,Retailer 138,INDEPENDENT,Q006,Distributor B,Direct,12.9,10.65,4,42.6,2.25,17.44186,1.62
2022-02-11,Normal,QRA-007-22RT09000850-01,aaa6fd45da396248775d1c6c1765fce1afe80084,HAIR CARE,Brand 4,a6ec79a3ca7335835643015f94cf07516babe5a3,Retailer 832,CHAIN,Q007,Distributor C,Exclusive,14.8,10.4,3,31.2,4.4,29.72973,0.04
2023-07-23,Normal,QRA-004-23RT02007800-01,9f6afd8c3dc440e1b8543371c2944d61af7614f6,SKIN CLEANSING,Brand 17,8587b85ce74c476cd282b371abb0cd55a5a2e94a,Retailer 678,CHAIN,Q004,Distributor A,Exclusive,8.9,5.7,6,34.2,3.2,35.955055,-0.53
2023-03-27,Normal,QRA-004-23RT02003120-01,ba50e6781c6dff57436b1a3821884f4f19ff58e1,SKIN CLEANSING,Brand 13,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q004,Distributor A,Exclusive,10.1,6.05,6,36.3,4.05,40.09901,-1.02
2024-10-10,Normal,QRA-004-24RT25006570-01,dd7fc31011ba3be6312abbd0793c98bc5b121da0,SKIN CLEANSING,Brand 7,0c0a5d4293715c25c66720e74c9d238ff1016f59,Retailer 57,INDEPENDENT,Q004,Distributor A,Exclusive,10.0,5.8,3,17.4,4.2,42.0,-1.2
2022-02-08,Normal,QRA-006-22RT10002150-01,f8d7cc6a0deb1163cfb90476b74db43e091f374c,FABRIC CARE,Brand 2,2ab5f2ad4c22c07218513a751a7d4be055321d85,Retailer 220,MINIMART,Q006,Distributor B,Direct,1.6,1.25,12,15.0,0.35,21.875,0.13
2022-09-30,Normal,QRA-003-22RT12004600-01,37424ee39eb4f20dcf29ceaa016cbc70cd448f7a,SCRATCH COOKING AIDS,Brand 12,1046ee8177382d4410165e52bdf354d502e8a581,Retailer 87,OTHERS,Q003,Distributor D,Selective,1.6,1.5,180,270.0,0.1,6.25,0.38
2021-03-26,Normal,QRA-006-21RT05004630-01,4dd97e75c8086d7c7f9f11264924509e9581c0f3,FABRIC CARE,Brand 2,b94d5659b049cef9fa0fb8bc3d0d6315f35fdadd,Retailer 922,INDEPENDENT,Q006,Distributor B,Direct,5.1,4.7,6,28.2,0.4,7.8431373,1.13
2021-10-18,Normal,QRA-003-21RT01019660-01,0fef8df401898133b87f05cf3f645834f090834c,BEVERAGES,Brand 29,95af778989797720124f8d7319f94f088ec4b117,Retailer 747,CHAIN,Q003,Distributor D,Selective,4.0,3.4,8,27.2,0.6,15.0,0.6
2024-05-31,Normal,QRA-003-24RT06008280-01,519a2a51c3c69fed0b328f787346b2c1eb10ec83,COOKING AIDS,Brand 12,0db80d677bf75a2fc36018f0ba22b712b5e97825,Retailer 72,INDEPENDENT,Q003,Distributor D,Selective,2.0,1.45,32,46.4,0.55,27.5,0.05
2023-06-26,Normal,QRA-006-23RT05008070-01,546ec5520aa8a4c5dbe176413eb36a325c4d4f86,FABRIC CARE,Brand 2,b94d5659b049cef9fa0fb8bc3d0d6315f35fdadd,Retailer 922,INDEPENDENT,Q006,Distributor B,Direct,4.2,3.05,6,18.3,1.15,27.380953,0.11
2021-02-09,Normal,QRA-007-21RT05002230-01,3fd7bcc303c69e6c2908cd982a7906742effb580,HAIR CARE,Brand 25,b94d5659b049cef9fa0fb8bc3d0d6315f35fdadd,Retailer 922,INDEPENDENT,Q007,Distributor C,Exclusive,6.2,4.7,6,28.2,1.5,24.193548,0.36
2022-02-21,Normal,QRA-003-22RT06002670-01,4765a9082c6ca014756c87bfe5fe9c5a97deb47f,SCRATCH COOKING AIDS,Brand 12,580f197e83b654fa7981fc8e8538c52923b12566,Retailer 455,WHOLESALER,Q003,Distributor D,Selective,3.1,2.5,100,250.0,0.6,19.35484,0.33
2024-04-16,Normal,QRA-004-24RT02003850-01,fb6c340b504aba87e68bd1d21adce13089b6f8fe,DEODORANTS & FRAGRANCES,Brand 21,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q004,Distributor A,Exclusive,3.2,2.15,12,25.8,1.05,32.8125,-0.09
2021-03-24,Normal,QRA-003-21RT04005020-01,04e3504c4d1188a76a5172d4c0a5306b8f4ed3eb,BEVERAGES,Brand 30,6941811429c8aac7ba900cfd9ea56b0ccb146150,Retailer 519,SUPERMARKET,Q003,Distributor D,Selective,5.6,5.45,6,32.7,0.15,2.6785715,1.53
2022-06-07,Normal,QRA-007-22RT01006910-01,3410faa359828a40a733a97c517e5e8646154c52,SKIN CARE,Brand 28,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q007,Distributor C,Exclusive,2.5,2.25,12,27.0,0.25,10.0,0.5
2022-10-04,Normal,QRA-007-22RT10014950-01,bcd6e44dbceb498834aa74cf950e36002527bc6a,HAIR CARE,Brand 7,f00ff95f606b2860c811733f6337d7070d700bb6,Retailer 1195,INDEPENDENT,Q007,Distributor C,Exclusive,5.6,5.1,12,61.2,0.5,8.928572,1.18
2024-07-22,Normal,QRA-007-24RT24001240-01,7430499ee3784cb2df78e0775fd73b30544e21c7,HAIR CARE,Brand 7,f00ff95f606b2860c811733f6337d7070d700bb6,Retailer 1195,INDEPENDENT,Q007,Distributor C,Exclusive,5.7,5.05,6,30.3,0.65,11.403509,1.06
2021-01-06,Normal,QRA-004-21RT10000170-01,4b35c81f89eddcd163c5b07f18739faa9835709c,SKIN CLEANSING,Brand 7,8cd7595bf37edbf6d6df8829f0c3fa988c08a201,Retailer 705,INDEPENDENT,Q004,Distributor A,Exclusive,6.8,5.45,12,65.4,1.35,19.852942,0.69
2024-06-18,Normal,QRA-007-24RT10008090-01,10f08447f9c59e4c3e256f76694986055c7b9813,SKIN CARE,Brand 28,ef17071fe7c901fc3f0c0f8815ae9c04d29aed3a,Retailer 1192,INDEPENDENT,Q007,Distributor C,Exclusive,3.5,3.45,6,20.7,0.05,1.4285715,1.0
2021-03-24,Normal,QRA-004-21RT03005330-01,a7078471442c2a6d64156d336ed719c3b71dbb38,PERSONAL CARE,Brand 21,cdeb8aa42abfc91413dd36b5d25516837f731ffb,Retailer 1023,WHOLESALER,Q004,Distributor A,Exclusive,1.9,1.2,48,57.6,0.7,36.842106,-0.13
2024-10-21,Normal,QRA-004-24RT22007230-01,28a60b7a8201053d37cbde6d1c7d032a8b2243a5,SKIN CLEANSING,Brand 13,47007f559dfa65b7d3930ab1e68325bdffd4ace6,Retailer 360,INDEPENDENT,Q004,Distributor A,Exclusive,3.2,3.1,12,37.2,0.1,3.125,0.86
2023-07-13,Normal,QRA-006-23RT10010640-01,c487db22473c722fda033de4660e265036fdda21,FABRIC CARE,Brand 2,26bc6d1f6d15ff593aee4fb93ae8c973f1ab4836,Retailer 202,INDEPENDENT,Q006,Distributor B,Direct,7.3,5.65,6,33.9,1.65,22.60274,0.54
2021-11-26,Normal,QRA-007-21RT05015990-01,9fbc833ddd7135e0d51756f9b387671b0a668b4b,SKIN CARE,Brand 28,b94d5659b049cef9fa0fb8bc3d0d6315f35fdadd,Retailer 922,INDEPENDENT,Q007,Distributor C,Exclusive,1.7,1.6,12,19.2,0.1,5.882353,0.41
2023-05-23,Normal,QRA-003-23RT06007230-01,9968ec2073a0f49f744e7af8cc26e1d385fbf55e,COOKING AIDS,Brand 12,827c65aa93056506573c8e53e63069762350ccf0,Retailer 665,INDEPENDENT,Q003,Distributor D,Selective,3.2,2.9,10,29.0,0.3,9.375,0.66
2022-01-04,Normal,QRA-004-22RT01000170-01,2a59b3983379a9c6e097969ff582d5e496b18cc6,SKIN CLEANSING,Brand 13,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q004,Distributor A,Exclusive,9.6,5.6,6,33.6,4.0,41.666668,-1.12
2022-01-21,Normal,QRA-003-22RT03001850-01,61cefcfda0975288b187de7f02f73501388859b5,SCRATCH COOKING AIDS,Brand 12,a14145ba6cf0196080f712e4e821b5184eddfe7e,Retailer 796,INDEPENDENT,Q003,Distributor D,Selective,1.7,1.25,12,15.0,0.45,26.470589,0.06
2021-01-19,Normal,QRA-006-21RT10001100-01,e0d4716ca0cc64bff1889f19aae1cf58ff270854,FABRIC CARE,Brand 2,cd77ad05cf1f13a4be96c65abacd080e48a5a0c9,Retailer 1021,INDEPENDENT,Q006,Distributor B,Direct,6.8,5.45,3,16.35,1.35,19.852942,0.69
2023-03-31,Normal,QRA-007-23RT03005330-01,7ef98abaa1998599970ff35bb39bdf0bd6a92cc3,HAIR CARE,Brand 7,ec1af7aec4e62e1a32ba1d3e3d89a466b5769177,Retailer 1171,CHAIN,Q007,Distributor C,Exclusive,11.4,8.35,6,50.1,3.05,26.754387,0.37
2021-04-05,Normal,QRA-003-21RT01006850-01,4765a9082c6ca014756c87bfe5fe9c5a97deb47f,SCRATCH COOKING AIDS,Brand 12,95af778989797720124f8d7319f94f088ec4b117,Retailer 747,CHAIN,Q003,Distributor D,Selective,3.1,2.5,7,17.5,0.6,19.35484,0.33
2023-12-04,Normal,QRA-004-23RT05016360-01,16ab7bf794ae354d48e3461150ee602e2151db36,SKIN CLEANSING,Brand 13,8c9cf78462fe727421cee082ccbf531cd8318c79,Retailer 704,INDEPENDENT,Q004,Distributor A,Exclusive,10.1,6.2,3,18.6,3.9,38.61386,-0.87
2021-02-22,Normal,QRA-007-21RT02000610-01,7029f10103343900dceb839608c2484fab42eca1,HAIR CARE,Brand 7,034ba7dd7440136b9ebfdafc827233a50796468e,Retailer 21,INDEPENDENT,Q007,Distributor C,Exclusive,11.1,9.1,6,54.6,2.0,18.018019,1.33
2022-09-09,Normal,QRA-006-22RT05011970-01,249f39537eca1dcd71ef08aa9f2cb4198cd69089,FABRIC CARE,Brand 2,b94d5659b049cef9fa0fb8bc3d0d6315f35fdadd,Retailer 922,INDEPENDENT,Q006,Distributor B,Direct,7.1,5.6,12,67.2,1.5,21.12676,0.63
2022-07-18,Normal,QRA-003-22RT03011170-01,82cd778653ebe246b8023c97a52a5be53f3ecb10,COOKING AIDS,Brand 12,4e0c601935c96d47573996260cd8890a32538d33,Retailer 400,INDEPENDENT,Q003,Distributor D,Selective,1.9,1.45,12,17.4,0.45,23.68421,0.12
2021-10-05,Normal,QRA-004-21RT01018940-01,693b1957ecee702a6158ddd14c39dffcbf305371,DEODORANTS & FRAGRANCES,Brand 21,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q004,Distributor A,Exclusive,3.0,1.7,6,10.2,1.3,43.333332,-0.4
2022-07-27,Normal,QRA-007-22RT08011020-01,8f3ddf5e1cfbda67c53fbad129b77e9fb2add2a8,HAIR CARE,Brand 7,1a3bec4cfc406d1f02f94757e7b39080ffbe7a42,Retailer 140,CHAIN,Q007,Distributor C,Exclusive,11.1,8.5,3,25.5,2.6,23.423424,0.73
2022-12-07,Normal,QRA-003-22RT05016180-01,7468e035d1d41dc70f50eac563d863e6ca08aa61,COOKING AIDS,Brand 12,cd4b8c7df6cff3aac2a6731030bdd2d2fadb1f5a,Retailer 1019,INDEPENDENT,Q003,Distributor D,Selective,2.1,2.0,12,24.0,0.1,4.7619047,0.53
2022-05-10,Normal,QRA-007-22RT03007430-01,45c68e33aa34208611d64658686a0018bfd56872,HAIR CARE,Brand 25,a7a0c857ab156e3e25b57aa5a3032966f3681611,Retailer 839,INDEPENDENT,Q007,Distributor C,Exclusive,6.2,3.9,6,23.4,2.3,37.096775,-0.44
2024-01-09,Normal,QRA-007-24RT02000440-01,1b7a3b26f7e293d3e0059d23fb7d27fdc45f9085,HAIR CARE,Brand 7,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q007,Distributor C,Exclusive,11.4,7.4,6,44.4,4.0,35.08772,-0.58
2023-10-06,Normal,QRA-003-23RT02010720-01,04286a626e72022f7adee6f2220cc042c58dd220,COOKING AIDS,Brand 12,8587b85ce74c476cd282b371abb0cd55a5a2e94a,Retailer 678,CHAIN,Q003,Distributor D,Selective,2.0,1.45,48,69.6,0.55,27.5,0.05
2023-05-08,Normal,QRA-003-23RT10007010-01,d6efb05629bf3f2f46999c6abde79e7e83f52792,SCRATCH COOKING AIDS,Brand 12,ef17071fe7c901fc3f0c0f8815ae9c04d29aed3a,Retailer 1192,INDEPENDENT,Q003,Distributor D,Selective,2.4,1.9,12,22.8,0.5,20.833334,0.22
2024-08-26,Normal,QRA-007-24RT22003670-01,0c830ce9bd61c66b6f567810d753c2c59ba439b4,HAIR CARE,Brand 7,bc7410348ad3d33a2f2cecf59205d470668e272d,Retailer 938,INDEPENDENT,Q007,Distributor C,Exclusive,5.7,5.05,3,15.15,0.65,11.403509,1.06
2022-03-07,Normal,QRA-007-22RT05003360-01,770786cebf7d820f12b926fae72bd70937132403,HAIR CARE,Brand 25,2c4515122365a32e6c03cf65fb102e03fdd52583,Retailer 228,CHAIN,Q007,Distributor C,Exclusive,9.4,6.05,3,18.15,3.35,35.638298,-0.53
2023-03-28,Normal,QRA-004-23RT02003220-01,84d6e9c4efa7d447d922af92b86d72db334ecb1b,SKIN CLEANSING,Brand 17,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q004,Distributor A,Exclusive,5.9,3.65,6,21.9,2.25,38.135593,-0.48
2024-02-22,Normal,QRA-007-24RT04002470-01,7a426df4b080f6e8d14065d31f8bd8615098b77a,SKIN CARE,Brand 28,17025e074c5865cbc87741727c50dc23e424d6e3,Retailer 123,INDEPENDENT,Q007,Distributor C,Exclusive,1.6,1.55,6,9.3,0.05,3.125,0.43
2023-02-24,Normal,QRA-003-23RT06002820-01,987b96c294ae9d1c721ed9347857c695f8829001,COOKING AIDS,Brand 12,164aba53dbb6b96e81111d120b37103c2ff9f688,Retailer 116,INDEPENDENT,Q003,Distributor D,Selective,3.0,2.85,24,68.4,0.15,5.0,0.75
2022-10-20,Normal,QRA-007-22RT10015670-01,228e50719d6dd4dda698bc6a702077e8e18582b5,HAIR CARE,Brand 7,d6c6882ae0088ca013aa69c811eca6062c4dff9c,Retailer 1065,INDEPENDENT,Q007,Distributor C,Exclusive,5.6,5.1,3,15.3,0.5,8.928572,1.18
2023-02-15,Normal,QRA-004-23RT05001980-01,3855ec13a53c386ba2fd9591b537fbff9c8be35d,SKIN CLEANSING,Brand 7,c18153398fd5f951713b62c701c7236e01b968e3,Retailer 958,CHAIN,Q004,Distributor A,Exclusive,10.0,6.3,6,37.8,3.7,37.0,-0.7
2021-09-24,Normal,QRA-004-21RT06014320-01,ccea3d3285fe7c6494dc275f8e4034546eab9298,SKIN CLEANSING,Brand 17,ba8977fed33e9d81ff109e9a3f0b5255dac30b2d,Retailer 929,INDEPENDENT,Q004,Distributor A,Exclusive,4.2,2.7,12,32.4,1.5,35.714287,-0.24
2022-12-12,Normal,QRA-003-22RT02010750-01,884a2b25a230685fa4be9ea8655ffd7b66d54067,SCRATCH COOKING AIDS,Brand 12,95af778989797720124f8d7319f94f088ec4b117,Retailer 747,CHAIN,Q003,Distributor D,Selective,1.7,1.6,18,28.8,0.1,5.882353,0.41
